StoreID;StoreCode;StoreName;DITOStoreID;Address;Province;PriceRegion;StoreTypeID;StateID;Country;ReportingStatus;Column1;_1;_2;_3;_4;_5;_6;_7;_8;_9;_10
611;7PBA;PLATINUM ONE STOP WEST;611;N4 BAKWENA HIGHWAY.DOORNPOORT;INLAND NORTH;ENGEN - QUICKSHOP;ENGEN - QUICKSHOP - INLAND NORTH;Inland North;SOUTH AFRICA;TRUE;;;;;;;;;;;
612;7PBB;PLATINUM ONE STOP EAST;612;N4 BAKWENA HIGHWAY.DOORNPOORT;INLAND NORTH;ENGEN - QUICKSHOP;ENGEN - QUICKSHOP - INLAND NORTH;Inland North;SOUTH AFRICA;TRUE;;;;;;;;;;;
613;7EEE;ENGEN MAUNDE;613;165 Maunde St, Atteridgeville, Pretoria, 0008.;GAUTENG CENTRAL;ENGEN - QUICKSHOP;ENGEN - QUICKSHOP - GAUTENG CENTRAL;Gauteng Central;SOUTH AFRICA;TRUE;;;;;;;;;;;
614;6CDJ;JABULANI SERVICE STATION;614;Cnr Bolani Rd &, Koma St, Moletsane, Soweto, 1868.;GAUTENG SOUTH WEST;ENGEN - QUICKSHOP;ENGEN - QUICKSHOP - GAUTENG SOUTH WEST;Gauteng South West;SOUTH AFRICA;TRUE;;;;;;;;;;;
615;5LDM;NGWENYA CONVENIENCE CENTRE;615;200 COWEN NTULI STREET.MIDDELBURG;EASTERN REGION;ENGEN - QUICKSHOP;ENGEN - QUICKSHOP - EASTERN REGION;Eastern region;SOUTH AFRICA;TRUE;;;;;;;;;;;
616;5ELD;SEA COW LAKE MOTORS;616;22-26 Joyce Rd, Parlock, Newlands West, 4037.;EASTERN REGION;ENGEN - QUICKSHOP;ENGEN - QUICKSHOP - EASTERN REGION;Eastern region;SOUTH AFRICA;TRUE;;;;;;;;;;;
617;7PDJ;ELIM PLAZA CONVENIENCE CENTRE;617;3 GIYANI ROAD.LIMPOPO;INLAND NORTH;ENGEN - QUICKSHOP;ENGEN - QUICKSHOP - INLAND NORTH;Inland North;SOUTH AFRICA;TRUE;;;;;;;;;;;
618;6EUM;BEVERLEY HILLS SERVICE STATION;618;843 Hollywood Street, Beverly Hills, Evaton, 1984.;GAUTENG SOUTH WEST;ENGEN - QUICKSHOP;ENGEN - QUICKSHOP - GAUTENG SOUTH WEST;Gauteng South West;SOUTH AFRICA;TRUE;;;;;;;;;;;
619;5LBW;ATHLONE CONVENIENCE CENTRE;619;17 KENNETH KAUNDA ROAD.DURBAN NORTH;EASTERN REGION;ENGEN - QUICKSHOP;ENGEN - QUICKSHOP - EASTERN REGION;Eastern region;SOUTH AFRICA;TRUE;;;;;;;;;;;
620;2EDJ;BEAUFORT SERVICE STATION;620;14-18 BEAUFORT STREET GRAHAMSTOWN.;CAPE EAST;ENGEN - QUICKSHOP;ENGEN - QUICKSHOP - CAPE EAST;Cape East;SOUTH AFRICA;TRUE;;;;;;;;;;;
621;7PAP;ENGEN ROCKY CREEK;621;R40, White River, 1240.;INLAND NORTH;ENGEN - QUICKSHOP;ENGEN - QUICKSHOP - INLAND NORTH;Inland North;SOUTH AFRICA;TRUE;;;;;;;;;;;
622;9ABP;NALEDI CONVENIENCE CENTRE;622;1023 Legwale St, Naledi, Soweto, 1861.;GAUTENG SOUTH WEST;ENGEN - ZENEX SHOP;ENGEN - ZENEX SHOP - GAUTENG SOUTH WEST;Gauteng South West;SOUTH AFRICA;TRUE;;;;;;;;;;;
623;8CTH;LEBOGANG SERVICE STATION;623;OK CENTRE.STATION ROAD;FREESTATE;ENGEN - QUICKSHOP;ENGEN - QUICKSHOP - FREESTATE;Freestate;SOUTH AFRICA;TRUE;;;;;;;;;;;
624;2EEJ;STILBAAI SERVICE STATION;624;Main Rd, Still Bay West, Still Bay, 6674.;CAPE EAST;ENGEN - QUICKSHOP;ENGEN - QUICKSHOP - CAPE EAST;Cape East;SOUTH AFRICA;TRUE;;;;;;;;;;;
625;6BLG;FERROBANK MOTORS;625;1 Schonland Dr, Ferrobank, Emalahleni, 1035.;GAUTENG EAST;ENGEN - QUICKSHOP;ENGEN - QUICKSHOP - GAUTENG EAST;Gauteng East;SOUTH AFRICA;TRUE;;;;;;;;;;;
626;2DGB;NJOLI CONVENIENCE CENTRE;626;Daku Rd, Kwazakhele, 6205.;CAPE EAST;ENGEN - QUICKSHOP;ENGEN - QUICKSHOP - CAPE EAST;Cape East;SOUTH AFRICA;TRUE;;;;;;;;;;;
627;2HNC;GRAPE VALLEY CONVENIENCE CENTRE;627;Voortrekker St, De Doorns, 6850.;CAPE WEST;ENGEN - QUICKSHOP;ENGEN - QUICKSHOP - CAPE WEST;Cape West;SOUTH AFRICA;TRUE;;;;;;;;;;;
628;7NTM;JABAVU CONVENIENCE CENTRE;628;7318 ROODEPOORT ROAD CNR MPUTHI STREET.JABAVU;GAUTENG SOUTH WEST;ENGEN - QUICKSHOP;ENGEN - QUICKSHOP - GAUTENG SOUTH WEST;Gauteng South West;SOUTH AFRICA;TRUE;;;;;;;;;;;
629;2DJW;THE BRIDGE SERVICE STATION;629; 14 C J Langenhoven Dr, Greenacres, Port Elizabeth, 6045;CAPE EAST;ENGEN - QUICKSHOP;ENGEN - QUICKSHOP - CAPE EAST;Cape East;SOUTH AFRICA;TRUE;;;;;;;;;;;
630;5TGF;TOP RED SERVICE STATION;630;9 Muller St in Bethlehem;FREESTATE;ENGEN - QUICKSHOP;ENGEN - QUICKSHOP - FREESTATE;Freestate;SOUTH AFRICA;TRUE;;;;;;;;;;;
631;5LDP;ILALA RIDGE CONVENIENCE CENTRE;631;2 Ilala Dr, La Lucia, 4051.;EASTERN REGION;ENGEN - QUICKSHOP;ENGEN - QUICKSHOP - EASTERN REGION;Eastern region;SOUTH AFRICA;TRUE;;;;;;;;;;;
632;7PDR;BENDOR CONVENIENCE CENTRE;632; Cnr Veldspaat St &, Bendor Dr, Bendor, Polokwane, 0699.;INLAND NORTH;ENGEN - QUICKSHOP;ENGEN - QUICKSHOP - INLAND NORTH;Inland North;SOUTH AFRICA;TRUE;;;;;;;;;;;
633;8CWY;BROMHOF SERVICE STATION;633; Cnr President Fouche Dr &, Olive Rd, Olivedale, Randburg, 2188.;GAUTENG CENTRAL;ENGEN - QUICKSHOP;ENGEN - QUICKSHOP - GAUTENG CENTRAL;Gauteng Central;SOUTH AFRICA;TRUE;;;;;;;;;;;
634;7FUC;WATERBERG TOYOTA;634; Thabo Mbeki Dr, Modimolle, 0510.;INLAND NORTH;ENGEN - QUICKSHOP;ENGEN - QUICKSHOP - INLAND NORTH;Inland North;SOUTH AFRICA;TRUE;;;;;;;;;;;
635;6DTP;TSAKANE CONVENIENCE CENTRE;635; Cnr Modjadji &, Malandela St, Tsakane, Brakpan, 1550.;INLAND NORTH;ENGEN - QUICKSHOP;ENGEN - QUICKSHOP - INLAND NORTH;Inland North;SOUTH AFRICA;TRUE;;;;;;;;;;;
636;5LDW;FUELARAMA CONVENIENCE CENTRE;636;Vereeniging Dr, Fleurdal, Bloemfontein, 9301.;FREESTATE;ENGEN - QUICKSHOP;ENGEN - QUICKSHOP - FREESTATE;Freestate;SOUTH AFRICA;TRUE;;;;;;;;;;;
637;5TJB;BATHO CONVENIENCE CENTRE;637;Cnr Fort Hare &, Hamilton Rd, Batho, Bloemfontein, 9323.;FREESTATE;ENGEN - QUICKSHOP;ENGEN - QUICKSHOP - FREESTATE;Freestate;SOUTH AFRICA;TRUE;;;;;;;;;;;
638;2EFK;EASTLAKE MOTORS;638;71 PRINCE GEORGES DRIVE.MUIZENBERG;CAPE WEST;ENGEN - QUICKSHOP;ENGEN - QUICKSHOP - CAPE WEST;Cape West;SOUTH AFRICA;TRUE;;;;;;;;;;;
639;7NWC;DALPARK CONVENIENCE CENTRE;639;CNR AIRPORT AND HEIDELBERG ROADS.DALPARK;GAUTENG EAST;ENGEN - QUICKSHOP;ENGEN - QUICKSHOP - GAUTENG EAST;Gauteng East;SOUTH AFRICA;TRUE;;;;;;;;;;;
640;7PEG;NIRVANA DRIVE CONVENIENCE CENTRE;640;48 Flamingo St, Lenasia, 1827.;GAUTENG SOUTH WEST;ENGEN - QUICKSHOP;ENGEN - QUICKSHOP - GAUTENG SOUTH WEST;Gauteng South West;SOUTH AFRICA;TRUE;;;;;;;;;;;
641;9ACP;LAEZONIA CONVENIENCE CENTRE;641;R511, Laezonia, Centurion, 0026.;GAUTENG CENTRAL;ENGEN - ZENEX SHOP;ENGEN - ZENEX SHOP - GAUTENG CENTRAL;Gauteng Central;SOUTH AFRICA;TRUE;;;;;;;;;;;
